STATUS,METHOD,URL,REFERER,DATE/TIME,"DEV LOG","USR MSG"
200,GET,/api/timezone?lat=40&lon=-19,,"Wed, 18 Apr 2018 04:19:18 GMT",,
200,GET,/api/timezone?lat=40&lon=-120,,"Wed, 18 Apr 2018 04:19:28 GMT",,
